Sites,location,pair,FieldType,Acrobeles,Acrobeloides,Anguinidae,Aphelenchoides,Aphelenchus,Aporcelaimidae,Aporcelaimellus,Aporcelaimus,Axonchium,Carcharolaimus,Cervidellus,Cephalobus,Cephalenchus,Chiloplacus,Cruznema,Clarkus,Criconema,Ditylenchus,Dorylaimidae,Discolaimus,Dorylaimellus,Dorylaimus,Dolichodoridae,Eudorylaimus,Ecphyadophora,Eucephalobus,Filenchus,Geocenamus,Gracilacus,Heterocephalobus,Longidorus,Meloidogyne,Metateratocephalus,Mononchus,Nothotylenchus,Paratylenchus,Plectus,Pratylenchus,Psilenchus,Rhabditidae,Rhabditis,Quinisulcius,Tylenchidae
51,Columbia Basin,10,Virgin Field,0,31,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,65,0,0,0
52,Columbia Basin,10,Non-virgin,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0
53,Columbia Basin,10,Native,0,19,0,49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Columbia Basin,11,Virgin Field,0,31,41,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Columbia Basin,11,Non-virgin Field,0,148,0,5,11,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,27,0,0,0
56,Columbia Basin,11,Native,0,0,23,142,0,0,0,0,5,0,0,0,0,46,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,18,0,0,0,0,0
57,Skagit Valley,12,Virgin Field,0,21,0,2,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,31,0,0,0
58,Skagit Valley,12,Non-virgin Field,0,22,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2
59,Skagit Valley,12,Native,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,37,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0
60,Skagit Valley,13,Virgin Field,0,26,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,27
61,Skagit Valley,13,Non-virgin Field,0,0,0,34,18,0,0,0,0,0,0,38,0,8,0,1,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,Skagit Valley,13,Native,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,1,0,0,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,9
63,Skagit Valley,14,Virgin Field,0,0,0,16,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,14,0,0,0
64,Skagit Valley,14,Non-virgin Field,0,0,0,56,13,0,0,0,0,0,0,43,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,123,0,0
65,Skagit Valley,14,Native,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,1,0,0,19,0,0,27
66,Skagit Valley,15,Virgin Field,0,38,0,19,46,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,0,0,0
67,Skagit Valley,15,Non-virgin Field,0,178,0,164,22,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,48,0,0,12,0,0,0,0,0,0,18,0,0,0
68,Skagit Valley,15,Native,0,36,0,22,0,2,0,0,0,0,0,8,0,0,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,29
69,Skagit Valley,16,Virgin Field,0,69,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,35,0,32,0,0,13
70,Skagit Valley,16,Non-virgin Field,0,49,0,17,0,0,3,0,0,0,0,0,0,0,31,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8,0,320,0,27,0
71,Skagit Valley,16,Native,8,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,36,0,0,125,0,0,0,0,0,69,0,16,0,0,18
72,Columbia Basin,17,Virgin Field,31,72,0,98,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0
73,Columbia Basin,17,Non-virgin,5,31,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,0,0,0
74,Columbia Basin,18,Virgin Field,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
75,Columbia Basin,18,Non-virgin,29,25,0,9,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
76,Columbia Basin,19,Virgin Field,0,22,0,71,18,0,0,0,0,2,0,0,0,0,33,0,0,39,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,68,0,0,0,0,0
77,Columbia Basin,19,Non-virgin Field,0,31,0,19,6,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,18,0,0,0
